,tshirts_names,Links
0,StyCon,https://www.flipkart.com/stycon-solid-women-round-neck-black-t-shirt/p/itm301b4f07844c4?pid=TSHGG24VZBTMZGDE&lid=LSTTSHGG24VZBTMZGDE4C4AWR&marketplace=FLIPKART&store=clo%2Fash%2Fank&srno=b_1_1&otracker=browse&fm=organic&iid=en_CSP6yq5nc028J%2Bu2InguteuQntbw70rz1yq4RKcBbBICXjdu1eDWgmreU%2BxfPJApCLfawpvd%2FpKwFU1tdCDJag%3D%3D&ppt=None&ppn=None&ssid=ixbgjl99ps0000001667820159769
1,HRX by Hrithik Roshan,https://www.flipkart.com/hrx-hrithik-roshan-solid-women-round-neck-black-t-shirt/p/itm1bff07747ffb4?pid=TSHFPNK5X8D7A2ZS&lid=LSTTSHFPNK5X8D7A2ZSIABL52&marketplace=FLIPKART&store=clo%2Fash%2Fank&srno=b_1_2&otracker=browse&fm=organic&iid=en_CSP6yq5nc028J%2Bu2InguteuQntbw70rz1yq4RKcBbBJNUJsqQwVqw6OBxuH2jevtFvhRJFaholw4rvS19fdllA%3D%3D&ppt=None&ppn=None&ssid=ixbgjl99ps0000001667820159769
2,Roadster,https://www.flipkart.com/roadster-solid-women-round-neck-purple-t-shirt/p/itm7acbba51b1caf?pid=TSHFWG37ZZFAJ6GG&lid=LSTTSHFWG37ZZFAJ6GGBKOE1J&marketplace=FLIPKART&store=clo%2Fash%2Fank&srno=b_1_3&otracker=browse&fm=organic&iid=c5214e87-e240-4a1a-8e17-e2a881154f0f.TSHFWG37ZZFAJ6GG.SEARCH&ppt=None&ppn=None&ssid=ixbgjl99ps0000001667820159769
3,Jannie Hustler,https://www.flipkart.com/jannie-hustler-printed-women-round-neck-multicolor-t-shirt/p/itm43b07b61dd16c?pid=TSHGEVEXGG8HNM2T&lid=LSTTSHGEVEXGG8HNM2T3ODYKX&marketplace=FLIPKART&store=clo%2Fash%2Fank&srno=b_1_4&otracker=browse&fm=organic&iid=c5214e87-e240-4a1a-8e17-e2a881154f0f.TSHGEVEXGG8HNM2T.SEARCH&ppt=None&ppn=None&ssid=ixbgjl99ps0000001667820159769
4,Leotude,https://www.flipkart.com/leotude-printed-women-round-neck-reversible-red-t-shirt/p/itmf3903a357f5e5?pid=TSHGFQU68VEJJVS2&lid=LSTTSHGFQU68VEJJVS2CSOHFF&marketplace=FLIPKART&store=clo%2Fash%2Fank&srno=b_1_5&otracker=browse&fm=organic&iid=c5214e87-e240-4a1a-8e17-e2a881154f0f.TSHGFQU68VEJJVS2.SEARCH&ppt=None&ppn=None&ssid=ixbgjl99ps0000001667820159769
5,Leotude,https://www.flipkart.com/leotude-printed-women-round-neck-purple-t-shirt/p/itm60a915caa40ee?pid=TSHGHFWXZ8HSE9AK&lid=LSTTSHGHFWXZ8HSE9AKK7LPPQ&marketplace=FLIPKART&store=clo%2Fash%2Fank&srno=b_1_6&otracker=browse&fm=organic&iid=c5214e87-e240-4a1a-8e17-e2a881154f0f.TSHGHFWXZ8HSE9AK.SEARCH&ppt=None&ppn=None&ssid=ixbgjl99ps0000001667820159769
6,Jannie Hustler,https://www.flipkart.com/jannie-hustler-printed-women-round-neck-multicolor-t-shirt/p/itm2951fc933c5f2?pid=TSHGEVFD7ZVNZJZU&lid=LSTTSHGEVFD7ZVNZJZUFPRS0Q&marketplace=FLIPKART&store=clo%2Fash%2Fank&srno=b_1_7&otracker=browse&fm=organic&iid=c5214e87-e240-4a1a-8e17-e2a881154f0f.TSHGEVFD7ZVNZJZU.SEARCH&ppt=None&ppn=None&ssid=ixbgjl99ps0000001667820159769
7,HRX by Hrithik Roshan,https://www.flipkart.com/hrx-hrithik-roshan-color-block-women-round-neck-multicolor-t-shirt/p/itm15d2252e1a817?pid=TSHGF87EVGQAQZHA&lid=LSTTSHGF87EVGQAQZHAJO4YA1&marketplace=FLIPKART&store=clo%2Fash%2Fank&srno=b_1_8&otracker=browse&fm=organic&iid=en_CSP6yq5nc028J%2Bu2InguteuQntbw70rz1yq4RKcBbBLWiP3JFrgFgIWAlckedEz8Ca0qQnwqkLxqnPpn2ejhbA%3D%3D&ppt=None&ppn=None&ssid=ixbgjl99ps0000001667820159769
8,Jannie Hustler,https://www.flipkart.com/jannie-hustler-printed-women-round-neck-multicolor-t-shirt/p/itma7791b6dc1490?pid=TSHGEVEWZ4NAFSZ7&lid=LSTTSHGEVEWZ4NAFSZ7QZT4NL&marketplace=FLIPKART&store=clo%2Fash%2Fank&srno=b_1_9&otracker=browse&fm=organic&iid=c5214e87-e240-4a1a-8e17-e2a881154f0f.TSHGEVEWZ4NAFSZ7.SEARCH&ppt=None&ppn=None&ssid=ixbgjl99ps0000001667820159769
9,Young trendz,https://www.flipkart.com/young-trendz-solid-women-round-neck-white-black-t-shirt/p/itm782cfe29db680?pid=TSHFTGDEYEZ6VZRR&lid=LSTTSHFTGDEYEZ6VZRRGKUCNZ&marketplace=FLIPKART&store=clo%2Fash%2Fank&srno=b_1_10&otracker=browse&fm=organic&iid=c5214e87-e240-4a1a-8e17-e2a881154f0f.TSHFTGDEYEZ6VZRR.SEARCH&ppt=None&ppn=None&ssid=ixbgjl99ps0000001667820159769
